School Name	School District
A.-J.-Savoie	Francophone Nord-Ouest
Abbey-Landry	Francophone Sud
Acadieville	Francophone Sud
Acadamie Notre-Dame	Francophone Nord-Ouest
Albert Street Middle	Anglophone West
Alexander Gibson Memorial	Anglophone West
Amirault	Francophone Sud
Andover Elementary	Anglophone West
Anna-Malenfant	Francophone Sud
Apollo-XI	Francophone Nord-Est
Arc-en-Ciel	Francophone Sud
Arnold H. McLeod	Anglophone East
Aroostook Elementary	Anglophone West
Arthur-Pinet	Francophone Nord-Est
Assiniboine Avenue Elementary	Anglophone West
Assomption	Francophone Nord-Est
Aux quatre vents	Francophone Nord-Est
Back Bay	Anglophone South
Barkers Point Elementary	Anglophone West
Barnhill Memorial	Anglophone South
Bath Elementary	Anglophone West
Bath Middle	Anglophone West
Bathurst High	Anglophone North
Bayside Middle	Anglophone South
Bayview Elementary	Anglophone South
Beaconsfield Middle	Anglophone South
Beaverbrook	Anglophone East
Belledune School	Anglophone North
Belleisle Elementary	Anglophone South
Belleisle Regional	Anglophone South
Bernice MacNaughton	Anglophone East
Bessborough	Anglophone East
Birchmount	Anglophone East
Blacks Harbour	Anglophone South
Blackville School	Anglophone North
Blanche-Bourgeois	Francophone Sud
Bliss Carman Middle	Anglophone West
Bonar Law Memorial	Anglophone North
Bristol Elementary	Anglophone West
Browns Flat	Anglophone South
Burton Elementary	Anglophone West
Caledonia Regional	Anglophone East
Calixte-F.-Savoie	Francophone Sud
Cambridge-Narrows Community	Anglophone West
Camille-Vautour	Francophone Sud
Campbellton Middle	Anglophone North
Campobello Island Consolidated	Anglophone South
Canterbury High	Anglophone West
Carleton North High	Anglophone West
Carrefour Beausoleil	Francophone Sud
Carrefour de l'Acadie	Francophone Sud
Carrefour de la Jeunesse	Francophone Nord-Ouest
Carrefour-Étudiant	Francophone Nord-Est
Centennial Elementary	Anglophone South
Central Carleton Elementary	Anglophone West
Central New Brunswick Academy	Anglophone West
Centre de l'apprentissage du Haut-Madawaska	Francophone Nord-Ouest
Centre La fontaine	Francophone Nord-Est
Centreville Community	Anglophone West
Champlain	Francophone Sud
Champlain Heights	Anglophone South
Chipman Elementary	Anglophone West
Chipman Forest	Anglophone West
Cite des Jeunes A.-M.-Sormany	Francophone Nord-Ouest
Cite-de-l'Amitie	Francophone Nord-Est
Claude D. Taylor	Anglophone East
Clement-Cormier	Francophone Sud
Coles Island	Anglophone West
Connaught Street Elementary	Anglophone West
Coronation Park Elementary	Anglophone North
Croft Elementary	Anglophone North
Dalhousie Middle	Anglophone North
Dalhousie Regional	Anglophone North
Debec Elementary	Anglophone West
Deer Island Community	Anglophone South
Des Bâtisseurs	Francophone Sud
Devon Middle	Anglophone West
Doaktown Consolidated	Anglophone West
Doaktown Elementary	Anglophone West
Donald Fraser	Anglophone West
Donat-Robichaud	Francophone Sud
Dorchester Consolidated	Anglophone East
Douglas Elementary	Anglophone West
Dr-Marguerit-Michaud	Francophone Sud
Dr. A. T. Leatherbarrow	Anglophone South
Dr. Christine Davies	Anglophone South
Dr. Losier Middle	Anglophone North
Echo Jeunesse	Francophone Nord-Ouest
Edith Cavell	Anglophone East
Eel Ground	Anglophone North
Eleanor W. Graham	Anglophone North
Elsipogtog	Anglophone North
Ernest-Lang	Francophone Nord-Ouest
Esgenoopetitj	Anglophone North
Evergreen Park	Anglophone East
Fairvale Elementary	Anglophone South
Florenceville Elementary	Anglophone West
Florenceville Middle	Anglophone West
Forest Glen	Anglophone East
Forest Hill Elementary	Anglophone West
Forest Hills Elementary	Anglophone South
Frank L. Bowser	Anglophone East
Francois-Xavier-Daigle	Francophone Nord-Est
Fredericton High	Anglophone West
Fundy High	Anglophone South
Fundy Shores	Anglophone South
Gagetown School	Anglophone West
Garden Creek Elementary	Anglophone West
Geary Elementary	Anglophone West
George Street Middle	Anglophone West
Gesner Street Elementary	Anglophone West
Glen Falls Elementary	Anglophone South
Grand Bay Primary	Anglophone South
Grand Manan Community	Anglophone South
Grande-Digue	Francophone Sud
Grande-Riviere	Francophone Nord-Ouest
Gretna Green Elementary	Anglophone North
Hammond River Valley	Anglophone South
Hampton Elementary	Anglophone South
Hampton High	Anglophone South
Hampton Middle	Anglophone South
Harbour View High	Anglophone South
Harcourt School	Anglophone North
Harkins Elementary	Anglophone North
Harkins Middle	Anglophone North
Harold Peterson Middle	Anglophone West
Harrison Trimble	Anglophone East
Harry Miller	Anglophone South
Hartland Community	Anglophone West
Hartland High	Anglophone West
Harvey Elementary	Anglophone West
Harvey High	Anglophone West
Havelock	Anglophone East
Havelock Elementary	Anglophone South
Hazen White-St. Francis	Anglophone South
Hillcrest	Anglophone East
Hillsborough Elementary	Anglophone East
Hubbard Avenue Elementary	Anglophone West
Ian Baillie Primary	Anglophone North
Inglewood Elementary	Anglophone South
Island View Elementary	Anglophone South
Jacquet River	Anglophone North
James M. Hill Memorial	Anglophone North
Janeville Elementary	Anglophone North
JMA Armstrong	Anglophone East
John Caldwell	Anglophone West
Juniper Elementary	Anglophone West
Kennebecasis Park	Anglophone South
Kennebecasis Valley	Anglophone South
Keswick Ridge	Anglophone West
Keswick Valley	Anglophone West
Kingsclear Consolidated	Anglophone West
L'Odyssee	Francophone Sud
L.E. Reinsborough	Anglophone North
L.F.M. Memorial Academy	Anglophone North
La Croisse de Robertville	Francophone Nord-Est
La D'acouverte-de-Saint-Sauveur	Francophone Nord-Est
La Passerelle	Francophone Nord-Est
La Relève	Francophone Nord-Est
